FID,FACILITYID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TELEPHONE,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_METHOD,VAL_DATE,WEBSITE,SECURELVL,CAPACITY,SHAPE_Leng,GlobalID,CreationDate,Creator,EditDate,Editor,SHAPE_Length,SHAPE_Area
6398,10000906,MONTEBELLO CITY JAIL,1600 W BEVERLY BLVD,MONTEBELLO,CA,90640,-999,(323) 887-1230,LOCAL,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.geogroup.com/Locations,2018/05/16 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.geogroup.com/Locations,NOT AVAILABLE,35,0.00237101870623,{DD49AECD-154F-4729-B117-DBE512A20159},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,286.857158317213,2.85635265136e-07
6399,10002849,HAYS COUNTY JAIL,1307 UHLAND RD,SAN MARCOS,TX,78666,-999,(512) 393-7800,COUNTY,OPEN,303,HAYS,48209,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, http://www.co.hays.tx.us/corrections-bureau-1.aspx",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/18 00:00:00+00,http://www.co.hays.tx.us/corrections-bureau-1.aspx,NOT AVAILABLE,362,0.00892778650288,{BD87C904-051E-4CF9-A092-5CE1305423F8},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1069.37716723095,2.08957577684e-06
6400,10006636,OKLAHOMA CITY TRANSITIONAL CENTER,5245 I-35 SERVICE ROAD,OKLAHOMA CITY,OK,73129,7023,(405) 605-2488,STATE,OPEN,187,OKLAHOMA,40109,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/weekly-count,2018/01/02 00:00:00+00,IMAGERY/OTHER,2020/01/21 00:00:00+00,http://www.corecivic.com/facilities,MINIMUM,200,0.00484111088967,{09017C62-3C5F-424D-B762-220B015EC4B9},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,584.59243744589,1.12896993685e-06
6401,10001953,TUSCALOOSA COUNTY JAIL,1600 26TH AVE,TUSCALOOSA,AL,35401,-999,(205) 349-4511,COUNTY,OPEN,-999,TUSCALOOSA,01125,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.tcsoal.org/divisions/jail,2018/01/25 00:00:00+00,IMAGERY/OTHER,2019/10/22 00:00:00+00,https://www.tcsoal.org/divisions/jail,MAXIMUM,-999,0.00575577227065,{7981A640-690D-4946-A9C8-38A95C1DC8A5},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,682.975780516787,1.22199176102e-06
6402,10002730,HOCKLEY COUNTY JAIL,1310 AVENUE H,LEVELLAND,TX,79336,-999,(806) 894-9334,COUNTY,OPEN,86,HOCKLEY,48219,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.co.hockley.tx.us/default.aspx?Hockley_County/Sheriff, https://www.tcjs.state.tx.us/index.php?linkID=325",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/20 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,64,0.002906368373,{95A54EF1-628B-484E-9EF7-88362A8BA66D},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,353.184550969991,2.45281159035e-07
6403,10001211,TUSCALOOSA COUNTY JUVENILE DETENTION CENTER,5941 12TH AVE E,TUSCALOOSA,AL,35405,-999,(205) 349-3131,COUNTY,OPEN,-999,TUSCALOOSA,01125,USA,922140,CORRECTIONAL INSTITUTIONS,http://web.alsde.edu/Home/SchoolInfo/SchoolListing.aspx?syscode=063&sitecode=0185&isSystem=0,2018/01/25 00:00:00+00,IMAGERY/OTHER,2019/10/22 00:00:00+00,NOT AVAILABLE,JUVENILE,-999,0.00429863950718,{CF548E27-5CC7-46EA-A379-8F1368724B3C},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,535.869832137555,8.14596258892e-07
6404,10002939,HIDALGO COUNTY DETENTION CENTER,711 EL CIBOLO RD,EDINBURG,TX,78541,-999,(956) 383-8114,COUNTY,OPEN,1051,HIDALGO,48215,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.tcjs.state.tx.us/index.php?linkID=325, https://www.hidalgocounty.us/209/Sheriff",2018/03/01 00:00:00+00,IMAGERY/OTHER,2020/02/20 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,1232,0.00907092698838,{84730858-6DE5-4E23-BB40-BDC61F509ED4},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1069.15407612344,3.14704184635e-06
6405,10006638,OKLAHOMA JUVENILE CENTER FOR GIRLS,310 12TH AVENUE NE,NORMAN,OK,73071,5238,(405) 329-1157,STATE,OPEN,15,CLEVELAND,40027,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.ok.gov/oja/PREA.html,2017/08/25 00:00:00+00,IMAGERY/OTHER,2020/01/21 00:00:00+00,https://www.ok.gov/oja/,JUVENILE,20,0.00430180530721,{722E6CB6-CD5D-43C0-BE5B-05D097943745},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,505.246848503014,7.07457877929e-07
6406,10003575,KATE BARNARD COMMUNITY CORRECTIONS CENTER,3200 NW 39TH ST,OKLAHOMA CITY,OK,73112,-999,NOT AVAILABLE,STATE,CLOSED,0,OKLAHOMA,40109,USA,922140,CORRECTIONAL INSTITUTIONS,http://newsok.com/article/5422672,2015/05/27 00:00:00+00,IMAGERY/OTHER,2020/01/21 00:00:00+00,NOT AVAILABLE,MINIMUM,160,0.00628255529921,{F7506E99-2357-404E-B055-EA81E6B0919E},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,737.576526856639,1.73226237808e-06
6407,10003746,WASHINGTON COUNTY SHERIFFS DEPARTMENT/JAIL,45 COURT ST,CHATOM,AL,36518,-999,(251) 847-2202,COUNTY,OPEN,80,WASHINGTON,01129,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.washcoso.com/,2018/01/25 00:00:00+00,IMAGERY/OTHER,2019/10/22 00:00:00+00,http://www.washcoso.com/,NOT AVAILABLE,-999,0.0017967328771,{CFE1EABB-A5BD-4A24-9EBE-5B5F205F412A},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,217.901838323143,2.01385716667e-07
6408,10001726,MUSKOGEE COMMUNITY CORRECTIONS CENTER,3031 N 32ND ST (U.S. 69),MUSKOGEE,OK,74401,-999,NOT AVAILABLE,STATE,CLOSED,0,MUSKOGEE,40101,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/Websites/doc/images/Documents/Newsroom/Annual%20Reports/2011%20Community%20Corrections%20Annual%20Report.pdf,2015/11/30 00:00:00+00,IMAGERY/OTHER,2020/01/21 00:00:00+00,NOT AVAILABLE,MINIMUM,82,0.00324333777523,{BF0164B9-3581-4A16-A28C-445F75F4D371},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,393.584088479197,6.39654387309e-07
6409,10003593,SOUTHWESTERN OKLAHOMA JUVENILE CENTER,320 S BROADWAY AVE,MANITOU,OK,73555,0099,(580) 397-3511,STATE,OPEN,59,TILLMAN,40141,USA,922140,CORRECTIONAL INSTITUTIONS,"https://www.ok.gov/oja/PREA.html, https://www.ok.gov/oja/",2017/08/22 00:00:00+00,IMAGERY/OTHER,2020/01/21 00:00:00+00,https://www.ok.gov/oja/,JUVENILE,64,0.00896757675372,{7598CFFC-2504-4E0A-A5D3-2F7B6F24B936},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1076.89704230206,3.15777676492e-06
6410,10003706,WINSTON COUNTY JAIL / SHERIFF,11 BLAKE DRIVE,DOUBLE SPRINGS,AL,35553,-999,(205) 489-2115,COUNTY,OPEN,-999,WINSTON,01133,USA,922140,CORRECTIONAL INSTITUTIONS,http://winstoncountyso.org/tp50/default.asp?ID=335609,2018/01/25 00:00:00+00,IMAGERY/OTHER,2019/10/22 00:00:00+00,http://winstoncountyso.org/tp50/default.asp?ID=335609,NOT AVAILABLE,-999,0.00150476800002,{C7100F67-8ACF-40AB-8514-E5DA22181544},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,182.562799986452,1.3885455744e-07
6411,10003583,REX THOMPSON MINIMUM SECURITY UNIT (LARC),15151 HWY 39,LEXINGTON,OK,73051,-999,(405) 527-5676,STATE,OPEN,265,CLEVELAND,40027,USA,922140,CORRECTIONAL INSTITUTIONS,http://doc.ok.gov/state-institutions,2014/05/12 00:00:00+00,IMAGERY/OTHER,2020/01/21 00:00:00+00,http://doc.ok.gov/state-institutions,MINIMUM,267,0.00360532943714,{8671BC4E-7EF5-44C0-9352-5E74E6217A73},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,436.404285084533,4.27321241527e-07
6412,10001298,COFFEE CREEK CORRECTIONAL FACILITY,24499 SW GRAHAMS FERRY RD,WILSONVILLE,OR,97070,-999,(503) 570-6412,STATE,OPEN,1287,WASHINGTON,41067,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MAXIMUM,1685,0.0195687993968,{ABED8355-DB7D-4225-B6D0-008D347C8332},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2567.63957037053,1.33617559445e-05
6413,10000846,TAFT MODIFIED COMMUNITY CORRECTIONAL FACILITY,330 COMMERCE WAY,TAFT,CA,93238,-999,(661) 765-2840,LOCAL,OPEN,524,KERN,06029,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cityoftaft.org/pView.aspx?id=5172&catID=562,2018/05/16 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,600,0.00509625661572,{599BD03E-6C96-41D7-A5F8-69AAD03138EC},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,633.591343283414,1.17053041833e-06
6414,10002958,COLUMBIA RIVER CORRECTIONAL INSTITUTION,9111 NE SUNDERLAND AVE,PORTLAND,OR,97211,1799,(503) 280-6646,STATE,OPEN,571,MULTNOMAH,41051,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MINIMUM,595,0.00742837473714,{F123A66E-23BE-43BC-8B4A-08454D6673CA},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1005.08279658848,2.25704325073e-06
6415,10006012,NORTHWEST OKLAHOMA JUVENILE DETENTION CENTER,315 AIRPORT RD,WOODWARD,OK,73801,-999,(580) 256-4400,COUNTY,OPEN,5,WOODWARD,40153,USA,922140,CORRECTIONAL INSTITUTIONS,http://woodwardnews.net/local/x1253557214/Officials-visit-juvenile-detention-center,2015/11/30 00:00:00+00,IMAGERY/OTHER,2020/01/21 00:00:00+00,http://www.ok.gov/occy/Programs/Office_of_Juvenile_System_Oversight/Facilities/,JUVENILE,10,0.00171110689087,{72A7FE1D-F45B-4FC9-A2D9-25E44965A9F9},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,208.332396172978,1.0529790685e-07
6416,10001294,EASTERN OREGON CORRECTIONAL INSTITUTION,2500 WESTGATE DR,PENDLETON,OR,97801,9699,(541) 276-0700,STATE,OPEN,1692,UMATILLA,41059,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MEDIUM,1682,0.0151598141331,{B930DC54-6F0F-4941-A75C-CD0472897E80},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1894.03974851403,1.26895029219e-05
6417,10001305,MILL CREEK CORRECTIONAL FACILITY,5465 TURNER ROAD SE,SALEM,OR,97317,-999,(503) 378-2600,STATE,OPEN,276,MARION,41047,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MINIMUM,240,0.00179492189283,{7FC59918-F19F-4423-B916-95B1461B484E},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,254.825810315693,1.09348864679e-07
6418,10005304,FREMONT DETENTION FACILITY,1990 STEVENSON BOULEVARD,FREMONT,CA,94538,-999,(510) 790-6871,LOCAL,OPEN,-999,ALAMEDA,06001,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.fremontpolice.org/index.aspx?NID=360,2018/05/16 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,https://www.fremontpolice.org/index.aspx?NID=118,NOT AVAILABLE,96,0.00174508212493,{8EDBD5D7-699A-4FAF-B968-F8B3DA335E4A},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,214.846973023686,1.60940029945e-07
6419,10002943,HIDALGO COUNTY JUVENILE BOOT CAMP,1711 N BRIDGE,WELASCO,TX,78596,-999,(956) 969-4908,COUNTY,OPEN,-999,HIDALGO,48215,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.hidalgocounty.us/620/Juvenile-Probation,2018/04/27 00:00:00+00,IMAGERY/OTHER,2020/02/20 00:00:00+00,https://www.hidalgocounty.us/1069/Boot-Camp-Facility,JUVENILE,52,0.00961242265411,{38B12C15-36CC-43F6-9608-EC81F16D8AFC},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1098.2944302983,4.08044664745e-06
6420,10001302,OREGON STATE CORRECTIONAL INSTITUTION,3405 DEER PARK DR SE,SALEM,OR,97310,9385,(503) 373-0125,STATE,OPEN,907,MARION,41047,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MEDIUM,880,0.0165992721486,{6ED30C28-B4AF-4DAB-AED3-6CDA574F1F1B},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2134.51680658322,1.51227850893e-05
6421,10001312,SHUTTER CREEK CORRECTIONAL INSTITUTION,95200 SHUTTERS LANDING LANE,NORTH BEND,OR,97459,0303,(541) 756-6666,STATE,OPEN,290,COOS,41011,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MINIMUM,302,0.0105916087443,{B3FDDF6F-5280-4A09-900F-F3C0159E3C26},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1400.5385648627,4.25641651376e-06
6422,10006686,TENNESSEE VALLEY JUVENILE DETENTION CENTER,2216 MISSOURI STREET,TUSCUMBIA,AL,35674,-999,(256) 381-3520,COUNTY,OPEN,19,COLBERT,01033,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.elyjenndetention.com/PREA.html,2016/04/25 00:00:00+00,IMAGERY/OTHER,2019/10/22 00:00:00+00,http://www.elyjenndetention.com/index.html,JUVENILE,25,0.0026417087032,{32ACB008-4719-4BB4-A6E1-45D7E7CEDA97},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,319.411623421138,3.03655547621e-07
6423,10002971,SANTIAM CORRECTIONAL INSTITUTION,4005 AUMSVILLE HWY SE,SALEM,OR,97317,-999,(503) 378-5808,STATE,OPEN,479,MARION,41047,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MINIMUM,440,0.01118142963,{8D35CD2B-2B3E-4DCB-BF41-6A7F37E90460},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1415.51869903334,4.40051403141e-06
6424,10002968,OREGON STATE PENITENTIARY,2605 STATE ST,SALEM,OR,97310,-999,(503) 378-2453,STATE,OPEN,2109,MARION,41047,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MAXIMUM,2194,0.019926478661,{7CC5F528-1915-4606-9DDD-78A1D8EA2811},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,2628.92185622711,1.26650542282e-05
6425,10001306,POWDER RIVER CORRECTIONAL FACILITY,3600 13TH ST,BAKER CITY,OR,97814,1346,(541) 523-6680,STATE,OPEN,349,BAKER,41001,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MINIMUM,286,0.0075577648159,{A63D5F81-ACBA-4479-A786-08079567FE1F},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,984.364622387974,3.46822663595e-06
6426,10005365,VERNON CITY JAIL (HOLDING FACILITY),4305 SANTA FE AVENUE,VERNON,CA,90058,-999,(323) 587-5171,LOCAL,OPEN,-999,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.cityofvernon.org/departments/police-department,2018/05/16 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,http://www.cityofvernon.org/departments/police-department/338-vernon-jail-facility,NOT AVAILABLE,19,0.00377043019083,{CD229A27-41A3-44F7-BDC5-76FD8FE19C83},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,458.704610530818,3.26157369846e-07
6427,10002986,ROGUE VALLEY YOUTH CORRECTIONAL FACILITY,2001 NE F ST,GRANTS PASS,OR,97526,4813,(541) 471-2862,STATE,OPEN,86,JOSEPHINE,41033,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.oregon.gov/oya/pages/pso/prea.aspx,2015/07/27 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,https://www.oregon.gov/oya/pages/facilities/rogue.aspx,JUVENILE,100,0.00487409508544,{857C8358-F723-4168-83EF-8282AB7240F5},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,628.729597301779,1.19197428647e-06
6428,10001310,SNAKE RIVER CORRECTIONAL INSTITUTION,777 STANTON BLVD,ONTARIO,OR,97914,8335,(541) 881-5000,STATE,OPEN,2760,MALHEUR,41045,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MEDIUM,3062,0.0353012200221,{2C0FB8C7-58F3-4A5F-945D-80E94F9B6E49},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,4588.59953149695,4.87514798516e-05
6429,10001295,TWO RIVERS CORRECTIONAL INSTITUTION,82911 BEACH ACCESS RD,UMATILLA,OR,97882,-999,(541) 922-2001,STATE,OPEN,1718,UMATILLA,41059,USA,922140,CORRECTIONAL INSTITUTIONS,"http://www.oregon.gov/DOC/RESRCH/pages/index.aspx, http://www.oregon.gov/DOC/OPS/pages/index.aspx",2018/01/01 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/DOC/OPS/pages/index.aspx,MEDIUM,1966,0.0239110236428,{6BFBFB08-4322-45C8-A16A-7ED0EB60C956},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,3219.25953280376,1.55451158402e-05
6430,10003608,BENTON COUNTY JAIL,1300 SOUTHWEST 14TH STREET,BENTONVILLE,AR,72712,-999,(479) 271-1011,COUNTY,OPEN,578,BENTON,05007,USA,922140,CORRECTIONAL INSTITUTIONS,http://sheriff.bentoncountyar.gov/jail.html,2018/01/26 00:00:00+00,IMAGERY/OTHER,2019/11/11 00:00:00+00,http://sheriff.bentoncountyar.gov/jail.html,MAXIMUM,508,0.00939773555678,{45ED92C7-D2F2-41D0-AB70-3AE4AD3F243A},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1140.18173358409,4.17660546954e-06
6431,10005372,LAPD WILSHIRE AREA JAIL,4861 WEST VENICE BOULEVARD,LOS ANGELES,CA,90019,-999,(213) 473-0495,LOCAL,CLOSED,0,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.lapdonline.org/contact_us/content_basic_view/9672#11g,2016/02/15 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00295845565778,{E0C7AA38-48AD-45C2-9DBB-5BACB6DB8DE1},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,351.715148247496,4.36869390255e-07
6432,10002942,JUDGE MARIO E RAMIREZ JR. JUVENILE JUSTICE CENTER,1001 N DOOLITTLE RD,EDINBURG,TX,78540,-999,(956) 587-6200,COUNTY,OPEN,-999,HIDALGO,48215,USA,922140,CORRECTIONAL INSTITUTIONS,https://www.hidalgocounty.us/620/Juvenile-Probation,2018/04/27 00:00:00+00,IMAGERY/OTHER,2020/02/21 00:00:00+00,https://www.hidalgocounty.us/620/Juvenile-Probation,JUVENILE,96,0.00772980149244,{804D2329-51B6-46CD-9FE6-EA0270729741},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,899.226704309994,2.91915976814e-06
6433,10002956,CAMP TILLAMOOK YOUTH TRANSITIONAL FACILITY,6820 BARRACKS CIRCLE,TILLAMOOK,OR,97141,9683,(503) 842-4243,STATE,OPEN,17,TILLAMOOK,41057,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.oregon.gov/oya/pages/pso/prea.aspx,2017/03/28 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/oya/Pages/facility_services.aspx,JUVENILE,25,0.00430012818565,{99BEBDAE-3768-44D8-B28D-71148CC58472},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,548.162190904259,9.48133638901e-07
6434,10002955,TILLAMOOK YOUTH CORRECTIONAL FACILITY,6700 OFFICER ROW,TILLAMOOK,OR,97141,8903,(503) 842-2565,STATE,OPEN,42,TILLAMOOK,41057,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.oregon.gov/oya/pages/pso/prea.aspx,2017/03/28 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/oya/Pages/facility_services.aspx,JUVENILE,50,0.00433100564526,{A7EE6058-BEEC-40C8-A86C-8DDA257F59B2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,553.394970255177,9.08549144839e-07
6435,10005750,CAMP FLORENCE,4859 SOUTH JETTY ROAD,FLORENCE,OR,97439,8531,(541) 997-2076,STATE,OPEN,17,LANE,41039,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.oregon.gov/oya/pages/pso/prea.aspx,2017/03/27 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/oya/Pages/facility_services.aspx,JUVENILE,25,0.00352341931855,{55FF063E-7F60-45A6-BCAA-A6B5F5A2255E},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,479.46624813717,6.07977156683e-07
6436,10005373,LAPD SOUTHWEST AREA JAIL,1546 WEST MARTIN LUTHER KING BOULEVARD,LOS ANGELES,CA,90062,-999,(213) 485-2615,LOCAL,CLOSED,0,LOS ANGELES,06037,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.lapdonline.org/contact_us/content_basic_view/9672#11g,2016/02/15 00:00:00+00,IMAGERY/OTHER,2019/11/25 00:00:00+00,NOT AVAILABLE,NOT AVAILABLE,-999,0.00244930600013,{130967B2-00D7-4FB0-A9A6-3FE0A98397BC},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,291.132000006735,2.5270335723e-07
6437,10002969,HILLCREST YOUTH CORRECTIONAL FACILITY,2450 STRONG RD SE,SALEM,OR,97302,9676,(503) 986-0400,STATE,CLOSED,0,MARION,41047,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.oregon.gov/oya/Pages/facility_services.aspx,2018/01/04 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/OYA/pages/facilities/hillcrest.aspx,JUVENILE,180,0.0101274497423,{983F262B-238C-4E4D-AA38-AA790F6DB4B2},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,1304.11065280351,4.50265466041e-06
6438,10005742,NORTH COAST YOUTH CORRECTIONAL FACILITY,1250 SOUTHEAST 19TH STREET,WARRENTON,OR,97146,-999,(503) 861-7190,STATE,CLOSED,0,CLATSOP,41007,USA,922140,CORRECTIONAL INSTITUTIONS,http://www.oregon.gov/oya/Pages/facility_services.aspx,2018/01/04 00:00:00+00,IMAGERY/OTHER,2020/01/24 00:00:00+00,http://www.oregon.gov/OYA/pages/facilities/northcoast.aspx,JUVENILE,50,0.00406612502753,{535D4149-33E1-41B5-87F8-1A2453D93734},2022/01/07 15:27:25+00,HostedByHIFLD,2022/01/07 15:27:25+00,HostedByHIFLD,537.836384306969,3.7205764526e-07
